Date,Equities,Gold,REITs,Bitcoin
29-10-2015,8111.75,1147.199951,54.45760727,313.855011
30-10-2015,8065.799805,1141.5,53.95783234,328.0150146
02-11-2015,8050.799805,1135.800049,55.10600662,361.1889954
03-11-2015,8060.700195,1114.199951,54.55217361,403.4169922
04-11-2015,8040.200195,1106.5,54.30904388,411.5629883
05-11-2015,7955.450195,1104.400024,54.52516937,386.3540039
06-11-2015,7954.299805,1087.599976,52.82991409,374.4700012
09-11-2015,7915.200195,1087.900024,51.92487717,380.2569885
10-11-2015,7783.350098,1088.199951,52.5192337,336.8190002
13-11-2015,7762.25,1080.800049,51.62770081,336.7529907
16-11-2015,7806.600098,1083.699951,52.22203827,330.7510071
17-11-2015,7837.549805,1068.699951,52.22203827,335.0939941
18-11-2015,7731.799805,1068.800049,52.68132782,334.5899963
19-11-2015,7842.75,1078,52.84343719,326.1489868
20-11-2015,7856.549805,1076.400024,53.50531769,322.0220032
23-11-2015,7849.25,1066.800049,53.62013626,323.04599
24-11-2015,7831.600098,1074.300049,53.33646393,320.04599
27-11-2015,7942.700195,1056.199951,54.01862717,358.0419922
30-11-2015,7935.25,1065.800049,53.62013626,377.3210144
01-12-2015,7954.899902,1063.800049,54.36307907,362.4880066
02-12-2015,7931.350098,1054.199951,53.25540924,359.1870117
03-12-2015,7864.149902,1061.699951,52.41792679,361.04599
04-12-2015,7781.899902,1084.5,53.4175148,363.1830139
07-12-2015,7765.399902,1076.400024,53.26893616,395.5360107
08-12-2015,7701.700195,1076.300049,53.22165298,415.5629883
09-12-2015,7612.5,1077.599976,52.92447281,417.5629883
10-12-2015,7683.299805,1073.099976,52.54623795,415.4790039
11-12-2015,7610.450195,1076.900024,52.45168686,451.9379883
14-12-2015,7650.049805,1064.699951,52.69483185,444.1820068
15-12-2015,7700.899902,1062.900024,53.26893616,465.3210144
16-12-2015,7750.899902,1078,54.30904388,454.9339905
17-12-2015,7844.350098,1050.800049,54.03889465,456.0780029
18-12-2015,7761.950195,1066.199951,53.41074371,463.6159973
21-12-2015,7834.450195,1081.900024,53.62013626,438.6390076
22-12-2015,7786.100098,1074.800049,53.83624649,436.571991
23-12-2015,7865.950195,1069.400024,54.38962173,442.401001
24-12-2015,7861.049805,1077.199951,54.38962173,454.9849854
28-12-2015,7925.149902,1070.5,54.69092178,422.2789917
29-12-2015,7928.950195,1077.5,55.27304459,432.9830017
30-12-2015,7896.25,1060.099976,55.08131027,426.6199951
31-12-2015,7946.350098,1060.300049,54.60190582,430.5669861
04-01-2016,7791.299805,1075.099976,53.94445419,433.0910034
05-01-2016,7784.649902,1078.400024,54.9854126,431.9599915
06-01-2016,7741,1091.900024,54.8347435,429.105011
07-01-2016,7568.299805,1107.699951,53.76641464,458.0480042
08-01-2016,7601.350098,1097.800049,53.04732513,453.230011
11-01-2016,7563.850098,1096.5,53.34866333,448.428009
12-01-2016,7510.299805,1085.599976,52.99254227,435.6900024
13-01-2016,7562.399902,1087.5,52.2323761,432.3710022
14-01-2016,7536.799805,1073.900024,52.10910797,430.3059998
15-01-2016,7437.799805,1091.5,51.75300217,364.3309937
19-01-2016,7435.100098,1089.900024,52.02692795,380.1489868
20-01-2016,7309.299805,1107.099976,50.62985992,420.230011
21-01-2016,7276.799805,1099.099976,50.91065216,410.2619934
22-01-2016,7422.450195,1097.199951,52.3282547,382.4920044
25-01-2016,7436.149902,1106.199951,51.99952698,391.7260132
27-01-2016,7437.75,1116.099976,52.06117249,394.9719849
28-01-2016,7424.649902,1115.599976,51.66397095,380.2890015
29-01-2016,7563.549805,1116.400024,52.72546387,379.473999
01-02-2016,7555.950195,1127.900024,52.81447983,373.0559998
02-02-2016,7455.549805,1127.300049,52.33510208,374.447998
03-02-2016,7361.799805,1141.300049,52.68437576,369.9490051
04-02-2016,7404,1157.599976,52.71177292,389.5939941
05-02-2016,7489.100098,1157.800049,51.71190262,386.5490112
08-02-2016,7387.25,1197.900024,50.23264313,373.446991
09-02-2016,7298.200195,1198.699951,49.30813599,376.0289917
10-02-2016,7215.700195,1194.699951,49.65054321,381.6489868
11-02-2016,6976.350098,1247.900024,48.94517517,379.6539917
12-02-2016,6980.950195,1239.099976,49.50672531,384.2630005
16-02-2016,7048.25,1207.900024,50.41756439,407.4880066
17-02-2016,7108.450195,1211.099976,50.84900665,416.321991
18-02-2016,7191.75,1226.099976,51.36261749,422.3729858
19-02-2016,7210.75,1230.400024,51.65710449,420.7850037
22-02-2016,7234.549805,1209.5,52.15019608,437.7479858
23-02-2016,7109.549805,1222.300049,52.01323318,420.7359924
24-02-2016,7018.700195,1238.699951,51.95158768,424.9549866
25-02-2016,6970.600098,1238.199951,53.0130806,424.5440063
26-02-2016,7029.75,1219.800049,52.739151,432.1520081
29-02-2016,6987.049805,1233.900024,52.53369904,437.696991
01-03-2016,7222.299805,1230.300049,54.01295853,435.1229858
02-03-2016,7368.850098,1241.099976,54.40328979,423.9890137
03-03-2016,7475.600098,1257.400024,54.69092178,421.651001
04-03-2016,7485.350098,1269.900024,54.69778442,410.9389954
08-03-2016,7485.299805,1262.099976,54.2800293,413.9719849
09-03-2016,7531.799805,1256.599976,54.5813446,414.8599854
10-03-2016,7486.149902,1272,54.38275528,417.131012
11-03-2016,7510.200195,1258.699951,55.60178757,421.6900024
14-03-2016,7538.75,1244.400024,55.60861206,416.4379883
15-03-2016,7460.600098,1230.400024,55.63601303,416.8299866
16-03-2016,7498.75,1229.300049,56.30716324,417.0109863
17-03-2016,7512.549805,1264.5,57.1015625,420.6210022
18-03-2016,7604.350098,1253.800049,56.85500717,409.5480042
21-03-2016,7704.25,1243.800049,56.3418808,413.3070068
22-03-2016,7714.899902,1248.199951,56.3418808,418.0889893
23-03-2016,7716.5,1223.699951,56.03717422,418.0409851
28-03-2016,7615.100098,1219.900024,56.56345367,424.2309875
29-03-2016,7597,1235.599976,57.78919601,416.5159912
30-03-2016,7735.200195,1226.900024,57.6783905,414.8160095
